,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,H E Bates,Mon 26 Feb 1962,English lyrics,Banjo,Tupu Te Ruki,Gilbert & Sullivan - We sail the ocean blue (from HMS Pinafore),Piano Concerto No. 19 in F major,Rhapsody (A Shropshire Lad) (feat. Mark Elder),Prenderò quel brunettino (from Cosi fan tutte),Wonne der Wehmut D.260,Symphony no. 2 in D major Op. 43,Der Nussbaum [Myrthen],Eddie Lund and his Tahitians,Gilbert & Sullivan,Wolfgang Amadeus Mozart,"Hallé Orchestra, George Butterworth & Sir Mark Elder",Wolfgang Amadeus Mozart,Franz Schubert,"BBC Scottish Symphony Orchestra, Jean Sibelius & Ilan Volkov",Robert Schumann,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer H E Bates.
Favourite track: Tupu Te Ruki by Eddie Lund and his TahitiansBook: English lyricsLuxury: Banjo
", ,,,b972f589-fb0e-474e-b64a-803b0364fa75,e2e9da6e-de76-4a92-a9c7-347158d885df,b972f589-fb0e-474e-b64a-803b0364fa75,f91e3a88-24ee-4563-8963-fab73d2765ed,691b0e9d-9e57-41cf-932d-a3d21b068e75,3cd3882c-00f8-4362-a0c2-ad89ed248533, ,0,"https://www.bbc.co.uk/programmes/p009y65y
"
0,Hal Prince,Fri 21 Nov 1986,"Look Homeward, Angel - Thomas Wolfe",Bouillabaisse with langouste and wine,Bess you is my woman now (Porgy and Bess),Tristan und Isolde Act 3,Some Enchanted Evening,In questa reggia (Turandot),The Rite of Spring (feat. BBC Symphony Orchestra),La valse,"El amor brujo (feat. Shirley Verrett, Leopold Stokowski & The Philadelphia Orchestra)",Before It's Too Late,George Gershwin,Richard Wagner,Richard Rodgers & Oscar Hammerstein II,Giacomo Puccini,Игорь Фёдорович Стравинский & BBC Symphony Orchestra,"Maurice Ravel, Boston Symphony Orchestra & Charles Munch","Manuel de Falla, Shirley Verrett, The Philadelphia Orchestra & Leopold Stokowski",Ivan Lins,None,None,None,None,None,None,None,None,"
Michael Parkinson's castaway is producer Hal Prince.

Show more

", ,65744963-191a-44ef-a3c7-b693a808a158,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,,a693df4a-8762-4a45-b7fd-6695b558385e,c278de2c-9696-4fdf-a919-0781cd945e2c,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,17268036-f51c-427c-a8a2-241fac69d39f,2f31098d-1258-4f8f-af5f-95815b02f2d2, ,0,"https://www.bbc.co.uk/programmes/p009mm27
"
0,Hammond Innes,Mon 28 Feb 1972,The European Settlement of North America - Stanley Elliott,Guinness Book of Records,"Bess, you is my woman now (from Porgy and Bess)","Etude in C sharp minor, Op 25 No 7",God Rest Ye Merry Gentlemen,Pirate Jenny,Violin Concerto No. 2 in E major,Sailors' Hornpipe,Earthquake!,Helen Of Kirconnell,Lawrence Winters & Camilla Williams,Murray Perahia & Fryderyk Chopin,King's College Chapel Choir,Lotte Lenya,Johann Sebastian Bach,J B Robertson,Yma Sumac,John Laurie,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Hammond Innes.
Favourite track: God Rest Ye Merry Gentlemen by King's College Chapel ChoirBook: The European Settlement of North America by Stanley ElliottLuxury: Guinness Book of Records
", ,,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,,244f758f-5154-49c8-b3e1-551491e502f3,24f1766e-9635-4d58-a4d4-9413f9f98a4c,,53d86951-706c-41c8-9053-a713ea972395,, ,0,"https://www.bbc.co.uk/programmes/p009nc33
"
0,Hanif Kureishi,Fri 26 Apr 1996,Complete Works - Sigmund Freud,Marijuana seeds,I Am The Walrus,In A Silent Way,Anarchy In The U.K.,Positively 4th Street,Unfinished Sympathy,Buddha of Suburbia,(It's Good) To Be Free,Hell Is Round The Corner,The Beatles,Miles Davis,Sex Pistols,Bob Dylan,Massive Attack,David Bowie,Oasis,Tricky,Hello Goodbye. ,Miles Davies In A Silent Way. ,Flogging A Dead Horse. ,Bob Dylan Masterpieces. ,In The Air Tonight - Virgin's Greatest Hits. ,The Buddha Of Suburbia. ,Whatever. ,Maxinque. ,"
Sue Lawley's castaway is novelist and playwright Hanif Kureishi.

Show more

", ,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,561d854a-6a28-4aa7-8c99-323e6ce46c2a,e5db18cb-4b1f-496d-a308-548b611090d3,72c536dc-7137-4477-a521-567eeb840fa8,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,5441c29d-3602-4898-b1a1-b77fa23b8e50,39ab1aed-75e0-4140-bd47-540276886b60,5bf64d94-efd9-4334-96fd-e6197b0b02b8, ,0,"https://www.bbc.co.uk/programmes/p0093nmp
"
0,Hardie Ratcliffe,Mon 9 Nov 1964,Russian grammar,Guitar,Thunder and Lightning Polka,The Jewels of Madonna (Act 3 Intermezzo),Concerto for Saxophone,The Charleston,Scheherzade,South Rampart Street Parade,Till Eulenspiegel lustige streiche(Op.28) (feat. Antoni Wit),La Sonnambula Act 2,"City of Birmingham Symphony Orchestra, Andris Nelsons & Johann Strauss II",Ermanno Wolf-Ferrari,Lars‐Erik Larsson,Harry Gold and his Band,Nikolai Rimsky-Korsakov,Ted Heath & His Music,"Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach, Richard Strauss & Antoni Wit",Vincenzo Bellini,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is trade union official Hardie Ratcliffe.
Favourite track: Scheherazade by Nikolai Rimsky-KorsakovBook: Russian grammarLuxury: Guitar
", ,8255db36-4902-4cf6-8612-0f2b4288bc9a,5526b849-f536-45db-ab13-c70817e6593e,c79a4d41-54e1-4be1-befd-1b2148228fc9,,4cfe7051-f649-4d07-83b3-7a732abe7249,0f09f27d-f02d-4ac2-9798-90520b429f5b,af262d86-542d-4864-8527-083065166d6c,6f5bfd20-84cc-4879-8a40-05631ad576c7, ,0,"https://www.bbc.co.uk/programmes/p009y4m4
"
0,Hardy Amies,Mon 29 Sep 1958,,,Richard Wagner - Die Meistersinger von Nurnberg - opera in 3 acts,Letter Song,"Piano Trio No. 7 in B flat major Op 97 ""Archduke"": Scherzo",Il Mio Tesoro from Don Giovanni.,Humming Chorus (Madam Butterfly),Brandenburg Concerto No.5 in D major (BWV.1050),Ella giammai m'amò (from Don Carlos),Ist ein Traum (Act 3 Duet Finale) from Der Rosenkavalier),Richard Wagner,Claude Debussy,Ludwig van Beethoven,Wolfgang Amadeus Mozart,"Giacomo Puccini, Lorin Maazel, The Ambrosian Singers & Philharmonia Orchestra","Johann Sebastian Bach, Claudio Abbado & Orchestra Mozart",Giuseppe Verdi,Richard Strauss,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is designer Hardy Amies.
Luxury: Dressing case
", ,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,be50643c-0377-4968-b48c-47e06b2e2a3b,1f9df192-a621-4f54-8850-2c5373b7eac9,b972f589-fb0e-474e-b64a-803b0364fa75,a693df4a-8762-4a45-b7fd-6695b558385e,24f1766e-9635-4d58-a4d4-9413f9f98a4c,f1bedf1f-4445-4651-9c35-f4a3f3860a13,4cb43d82-824e-4034-b03d-1a98f36f6e16, ,0,"https://www.bbc.co.uk/programmes/p009y834
"
0,Harford Montgomery Hyde,Mon 16 Dec 1963,Life of Johnson - James Boswell,Brandy,"Where'er you Walk (Semele) (feat. Anthony Rolfe Johnson, English Baroque Soloists & Sir John Eliot Gardiner)","Divertimento in E flat major for String Trio, K 563","Ruhe Sanft, mein Holdes Leben (Zaide)","Sinfonia Concertante in E flat, K.364",Dies Bildnis ist bezaubernd schön (from The Magic Flute),Piano Concerto no. 5 in E flat Op.73 (Emperor) (feat. Juanjo Mena & BBC Philharmonic),Waltz from Eugene Onegin,The Lark in the Clear Air,"George Frideric Handel, Anthony Rolfe Johnson, English Baroque Soloists & Sir John Eliot Gardiner",Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,"Ashley Wass, Ludwig van Beethoven, BBC Philharmonic & Juanjo Mena",Pyotr Ilyich Tchaikovsky,Kenneth McKellar,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Harford Montgomery Hyde.
Favourite track: Piano Concerto No 5 in E Flat Major by Ludwig van BeethovenBook: Life of Johnson by James BoswellLuxury: Brandy
", ,27870d47-bb98-42d1-bf2b-c7e972e6befc,b972f589-fb0e-474e-b64a-803b0364fa75,b972f589-fb0e-474e-b64a-803b0364fa75,b972f589-fb0e-474e-b64a-803b0364fa75,b972f589-fb0e-474e-b64a-803b0364fa75,06500ad2-62c0-4be0-8eb3-d1bd99768549,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,d66a99f5-8dd0-4c25-a141-8850b13cc50a, ,0,"https://www.bbc.co.uk/programmes/p009y52m
"
0,Harold Abrahams,Mon 13 Jul 1959,Book of Quotations - Burton Egbert Stevenson,Microfilm of Bell's Life,Gilbert & Sullivan - The Yeomen of the Guard: Overture,The Swan of Tuonela,It's Raining Sunbeams,"Hamlet Act 5, Scene 2",An Eriskay Love Lilt,Evening Prayer (from Hansel and Gretel),Symphony no. 9 in E minor Op.95 (From the New World) (feat. BBC National Orchestra of Wales),With A Little Bit of Luck,Gilbert & Sullivan,"Osmo Vänskä, Sinfonia Lahti & Jean Sibelius",Deanna Durbin,William Shakespeare,Lois Marshall,Engelbert Humperdinck,Antonín Dvořák & BBC National Orchestra of Wales,Stanley Holloway,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is Olympian Harold Abrahams.
Favourite track: The Yeoman of the Guard (Overture) by Gilbert & SullivanBook: Book of Quotations by Burton Egbert StevensonLuxury: Microfilm of Bell's Life
", ,,691b0e9d-9e57-41cf-932d-a3d21b068e75,10b545d0-d861-488a-bf41-0f502dfcaa0f,a4ba11db-ae2b-4ec3-9084-2136db11acfa,978631fa-412e-4872-b9f9-b2f0594acb18,30060b66-4ed3-47a5-89d7-cb4f13437441,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,0fbd268c-64ec-43e8-8eea-fedc893f2802, ,0,"https://www.bbc.co.uk/programmes/p009y7q6
"
0,Harold Evans,Fri 7 Apr 2000,History of the American Civil War - Shelby Foote,Silk pyjamas,"St Matthew Passion – Mache dich, mein Herze, rein",They Didn't Believe Me,Mir ist so wunderbar from Fidelio,Jesse James,When I am laid in earth (Dido's Lament) (from Dido and Aeneas),Clarinet Quintet in A major - 2nd movement,Pilgrims' Chorus (from Tannhäuser),Concerto for Two Trumpets in C major,Johann Sebastian Bach,Ambrose and His Orchestra,Ludwig van Beethoven,"Pete Seeger, Ramblin’ Jack Elliott & Ed McCurdy",Henry Purcell,Wolfgang Amadeus Mozart,Richard Wagner,Antonio Vivaldi,St Matthew Passion. ,Yesterdays: The Unforgettable Music of Jerome Kern. ,Fidelio Op. 72. ,None,Dido and Aenas. ,"Clarinet Quintet K.581, Oboe Quartet K.370. ",None,Portrait of Wynton Marsalis. ,"
Sue Lawley's castaway is journalist and writer Harold Evans.

Show more

", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,8f9a162b-0679-449a-a917-b2a6782d3735,1f9df192-a621-4f54-8850-2c5373b7eac9,af18a9bc-e4ab-4068-9489-b64e8186fcf1,ddea5540-2c7d-4266-8507-b367c2635d35,b972f589-fb0e-474e-b64a-803b0364fa75,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,ad79836d-9849-44df-8789-180bbc823f3c, ,0,"https://www.bbc.co.uk/programmes/p0094b1j
"
0,Harold Fielding,Fri 22 Jun 1990,Great Murder Trials of 20th Century - Sir David Napley,Large bag of sugar,Piano Concerto in A minor - 1st movement,Partita for Solo Violin No. 3 in E major - 3rd movement,Il Mio Tesoro from Don Giovanni.,If My Friends Could See Me Now,She's Too Far Above Me,There Is A Sucker Born Ev'ry Minute (Barnum),"Violin Concerto in B minor, Op 61",Blue Danube Waltz,Robert Schumann,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Juliet Prowse,Tommy Steele,Michael Crawford,Edward Elgar,Johann Strauss II/Korngold,The Great Concertos. ,Bach/ Sonatas/ Partitas For Solo Violin. ,Stars Of The Vienna Opera. ,Sweet Charity/ Original London Cast. ,Half A Sixpence/ Original Cast. ,Barnum/ Original Cast. ,Elgar Violin Concerto/ Sammons. ,The Great Waltz/ Original Soundtrack. ,"
Sue Lawley's castaway is impresario Harold Fielding.

Show more

", ,3cd3882c-00f8-4362-a0c2-ad89ed248533,24f1766e-9635-4d58-a4d4-9413f9f98a4c,b972f589-fb0e-474e-b64a-803b0364fa75,a88922a8-2f66-4853-aeb5-64b5d2c13beb,0810fa02-a70e-4c99-b7e3-295c0972c64a,2c654643-cdbd-4634-be26-c4d1a90cfabd,4e60a56a-514a-4a19-a3cc-49927c96b3cb,, ,0,"https://www.bbc.co.uk/programmes/p009404d
"
0,Harold Hobson,Mon 1 Jul 1957,,,Ombra mai fu (Largo) (from Xerxes),The Cocktail Party (Act 2 Scene 1),Fancy Our Meeting,La Dame Aux Camelias,"Piano Sonata No 29 in B flat major, Op  106 'Hammerklavier' (feat. Igor Levit)","Oh, What a Beautiful Mornin'","Symphony no. 9 (Op.125) in D minor ""Choral""","Clarinet Concerto in A major, K 622",George Frideric Handel,T. S. Eliot,Jack Buchanan & Elsie Randolph,Edwige Feuillere & Louis Seigner,Ludwig van Beethoven & Igor Levit,Howard Keel,Ludwig van Beethoven,Wolfgang Amadeus Mozart,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is theatre critic Harold Hobson.
Luxury: Cricket bat
", ,27870d47-bb98-42d1-bf2b-c7e972e6befc,ae90c453-e8ed-4fb7-9d27-35b81fd0fdac,,,1f9df192-a621-4f54-8850-2c5373b7eac9,d78afc01-f918-440c-89fc-9d546a3ba4ac,1f9df192-a621-4f54-8850-2c5373b7eac9,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p009y8tn
"
0,Harold Pinter,Mon 14 Jun 1965,"Anthology of 16th, 17th and 18th-century poetry",Writing materials,Brandenburg Concerto No.3 (BWV.1048) in G major,Orchestral Suite No. 3 in D major,Funky Blues,Pyramid,Round Midnight,Flamenco Sketches,Brandenburg Concerto No. 6 in B flat major,"String Quartet No. 15 in A minor, Op. 132","Johann Sebastian Bach, Australian Brandenburg Orchestra & Paul Dyer",Johann Sebastian Bach,Charlie Parker,The Modern Jazz Quartet,,Charlie Parker’s Re‐Boppers,Johann Sebastian Bach,Ludwig van Beethoven,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is playwright Harold Pinter.
Favourite track: Quartet No 15 in A Minor (Opus 132) by Ludwig van BeethovenBook: Anthology of 16th, 17th and 18th-century poetryLuxury: Writing materials
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,24f1766e-9635-4d58-a4d4-9413f9f98a4c,c7356af9-9ea6-4a78-a55b-c73775716312,75472b2f-55ca-47bb-a192-5ac8601350ba,,84e79dfc-6522-45ab-aa0c-149a26b62ca8,24f1766e-9635-4d58-a4d4-9413f9f98a4c,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p009y43j
"
0,Harriet Cohen,Thu 20 Jan 1955,,,Tapiola (feat. Vladimir Ashkenazy),"Suite for solo cello, No.5 in C minor (BWV.1011)",Three Coins In The Fountain,Ibéria (from Images),Mass For Five Voices,"Symphony No.7 in D minor, Op.70",The Garden Of Fand,"Falstaff Act 3, Scene 2","Jean Sibelius, Philharmonia Orchestra & Vladimir Ashkenazy",Jean-Guihen Queyras & Johann Sebastian Bach,Frank Sinatra,Claude Debussy,Fleet Street Choir,Antonín Dvořák,Arnold Bax,Giuseppe Verdi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is pianist Harriet Cohen.
Luxury: Box of make-up
", ,5610302e-bfd9-421c-80e2-03d790a0f5e5,6ada7176-3fdb-4015-b1f4-cbefb3bf82d3,197450cd-0124-4164-b723-3c22dd16494d,be50643c-0377-4968-b48c-47e06b2e2a3b,,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,9138c4da-1959-445c-8ac8-ba917ec84b3a,f1bedf1f-4445-4651-9c35-f4a3f3860a13, ,0,"https://www.bbc.co.uk/programmes/p009yb16
"
0,Harry Belafonte,Mon 6 Oct 1958,,,"Baby, Won't You Please Come Home?",You Forgot Your Gloves,Bluesology,Didn't It Rain,Flamenco,Violin Concerto in D major,Smack Dab In The Middle,Scarlet Ribbons,Lena Horne,Jeri Southern,The Modern Jazz Quartet,Mahalia Jackson,Carmen Amaya and Company,Johannes Brahms,Joe Williams,Harry Belafonte,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor and singer Harry Belafonte.
Luxury: Michelangelo's David
", ,0031bc7a-1b6f-4620-99db-5202405b0749,c1037532-e43b-48c5-a138-fcfc50ee846f,75472b2f-55ca-47bb-a192-5ac8601350ba,1bebb19e-9305-4da8-a3fd-5dd40a6e517e,,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,de09faf8-c78b-4c3a-9c0d-76b1de15f40e,49c48b7f-1ff1-4f02-a1aa-ca1254b46ef2, ,0,"https://www.bbc.co.uk/programmes/p009y831
"
0,Harry Carpenter,Mon 28 Sep 1970,Encyclopaedia Britannica,Guitar,España,The Elements,O Come All Ye Faithful,One For My Baby (And One More For The Road),"Brandenburg Concerto No 5 in D major, BWV 1050",Act 1 Duet (from Tosca),Pomp & Circumstance March No 1 in D major (Land of Hope and Glory),"Symphony no. 9 (Op.125) in D minor ""Choral""",Emmanuel Chabrier,Tom Lehrer,King's College Chapel Choir,Frank Sinatra,"Johann Sebastian Bach, Lars Ulrik Mortensen & Ensemble 415",Giacomo Puccini,Sir Edward Elgar & BBC Symphony Orchestra,Ludwig van Beethoven,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is commentator Harry Carpenter.
Favourite track: Symphony No 9 by Ludwig van BeethovenBook: Encyclopaedia BritannicaLuxury: Guitar
", ,3d217bc1-cc90-4261-a230-46c0f6b7492c,359363a8-1dc7-40c9-9337-f5aa507000b6,,197450cd-0124-4164-b723-3c22dd16494d,24f1766e-9635-4d58-a4d4-9413f9f98a4c,a693df4a-8762-4a45-b7fd-6695b558385e,4e60a56a-514a-4a19-a3cc-49927c96b3cb,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p009ndxn
"
0,Harry Corbett,Mon 9 Aug 1965,The Best of Beachcomber,Trumpet,There will Never Be Another You,Symphony No. 5 in C minor (feat. BBC Scottish Symphony Orchestra),Nymphs and Shepherds (from The Libertine),Piano Concerto No.2 in C minor,The Pobble Who Had No Toes,The Lost Chord,My Favourite Things,Londonderry Air,Andre Previn and Rhythm Group,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Henry Purcell,Sergei Rachmaninov,Stanley Holloway,Arthur Sullivan,Julie Andrews,The Mantovani Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is Harry Corbett, creator of the glove puppet Sooty..
Favourite track: There will Never Be Another You by Andre Previn and Rhythm GroupBook: The Best of BeachcomberLuxury: Trumpet
", ,,1f9df192-a621-4f54-8850-2c5373b7eac9,ddea5540-2c7d-4266-8507-b367c2635d35,44b16e44-da77-4580-b851-0d765904573e,0fbd268c-64ec-43e8-8eea-fedc893f2802,4b466f5e-4620-4084-8841-3fe4ea38e689,16bdc7b3-6bfc-4f1c-89ad-d0756af40327,ef46f19f-5d56-4757-8fe4-d5f79dd143c4, ,0,"https://www.bbc.co.uk/programmes/p009y3zs
"
0,Harry Enfield,Fri 23 May 1997,Bleak House - Charles Dickens,Beer and a cigarette machine,Things We Said Today,Nabucco Prelude,(White Man) In Hammersmith Palais,Blackberry Way,Or co'dadi (Soldiers' chorus) (from Il trovatore),Parlez-Moi D'Amour,Born For A Purpose,"Nulla in mundo pax sincera, RV 630 (feat. Academy of Ancient Music)",The Beatles,Giuseppe Verdi,The Clash,The Move,Giuseppe Verdi,Lucienne Boyer,Dr. Alimantado,"Emma Kirkby, Antonio Vivaldi & Academy of Ancient Music",A Hard Day's Night. ,Nabucco. ,The Clash. ,Ones On One. ,None,Paris After Dark. ,Born For A Purpose. ,Vivaldi / Marcello. ,"
Sue Lawley's castaway is comedian Harry Enfield.

Show more

", ,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,f1bedf1f-4445-4651-9c35-f4a3f3860a13,8f92558c-2baa-4758-8c38-615519e9deda,2a3adca8-59ea-4180-beae-015eebf03328,f1bedf1f-4445-4651-9c35-f4a3f3860a13,794f27ad-ad32-4a88-b390-79d0141773ca,0fc5dfc7-a5f6-4f01-9091-4c90f1df37e2,991cc758-2c03-417f-b8a8-d5c1f16f58cb, ,0,"https://www.bbc.co.uk/programmes/p00944cw
"
0,Harry Loman,Mon 16 Apr 1973,A Tale of Two Cities - Charles Dickens,Cards,They Didn't Believe Me,The Galloping Major,"Hello, Who's Your Lady Friend?",Stardust,Thanks for the memory,I Do Like To Be Beside The Seaside,We'll Keep A Welcome,We'll Meet Again,Mario Lanza,Stanley Holloway,Leslie Sarony,Hoagy Carmichael,Bob Hope & Shirley Ross,Bernard Bedford,Harry Secombe,Vera Lynn,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is stage-door keeper Harry Loman.
Favourite track: Thanks for the Memory by Shirley Ross & Bob HopeBook: A Tale of Two Cities by Charles DickensLuxury: Cards
", ,09fa3805-2477-4944-9d30-e4e75fc92954,0fbd268c-64ec-43e8-8eea-fedc893f2802,3809bf44-c11a-4855-9dc6-c84a8b184022,75f6fe4b-8a7a-4f3c-9232-e6a00ac37491,,,adcfccd9-30fa-449b-a4bb-4c1e3312912c,7d32fa5a-7ccb-483b-87ea-5370b4be4d64, ,0,"https://www.bbc.co.uk/programmes/p009n92r
"
0,Harry Mortimer,Mon 19 Dec 1960,The Saint - Leslie Charteris,Cine camera,Kenilworth Suite,Roman Carnival Overture,The Trumpet Shall Sound from Messiah,The Silken Ladder – Overture,"Horn Concerto No 1 in E flat, Op 11 (feat. István Kertész & Barry Tuckwell)",Alpine Echoes,Fanfares for a Dignified and for a Festive Occasion,"1812 Overture, Op 49",Arthur Bliss,"Orchestre symphonique de Montréal, Hector Berlioz & Charles Dutoit",George Frideric Handel,Gioachino Rossini,"London Symphony Orchestra, István Kertész, Richard Strauss & Barry Tuckwell",Harry Mortimer,Arthur Bliss,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is conductor Harry Mortimer.
Favourite track: Kenilworth Suite by Arthur BlissBook: The Saint by Leslie CharterisLuxury: Cine camera
", ,dd595600-014b-498a-971d-c67198487f88,274774a7-1cde-486a-bc3d-375ec54d552d,27870d47-bb98-42d1-bf2b-c7e972e6befc,846be3c9-5f94-46ab-97b9-531335dd3658,38712b4c-0fd4-4c65-8c7a-45676fecc973,2a0225d1-6252-4f6c-89f8-81e5625eaa43,dd595600-014b-498a-971d-c67198487f88,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009y6wk
"
0,Harry Parry,Thu 16 Apr 1942,,,"I Surrender, Dear",Ave Maria,Farewell Blues,"Clarinet Quintet in B minor, Op 115",Blue Skies,Confessin',Frenesi,Rhapsody in Blue (feat. Paul Whiteman & His Orchestra),Artie Shaw and His Orchestra,Charles‐François Gounod,Benny Goodman and His Orchestra,Johannes Brahms,Paul Whiteman's Sax Socktette,Louis Armstrong & His Orchestra,Woody Herman and His Orchestra,George Gershwin & Paul Whiteman & His Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is jazz clarinettist Harry Parry.
", ,6552222a-4a4e-45e8-a472-a4bd6bfbd047,cd4636e1-06a3-41fc-848a-624b84bbb023,a2019e51-9ce1-4c14-98d0-25428761e9f0,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,,067bf834-c35f-414f-8389-a77558669cc1,be78d7d5-e137-42e1-a698-f4365c04b996,65744963-191a-44ef-a3c7-b693a808a158, ,0,"https://www.bbc.co.uk/programmes/p009y0lk
"
0,Harry Rabinowitz,Fri 3 Jul 2015,BOOK CHOICE,LUXURY ITEM,West End Blues,"Sonata No.20 in G major, Op.49, No.2",Hymn to Diana,"Fourth Movement, Symphony No.1",She,Memory,Kip's Lights,"Reilly, Ace of Spies - Theme Tune",Louis Armstrong & Earl Hines,Ludwig van Beethoven & John Lill,Peter Pears/Dennis Brain/Benjamin Britten,"William Walton & Tasmin Little/Edward Gardner, BBC Symphony Orchestra",Charles Aznavour,Elaine Paige,Academy of St Martin in the Fields,Dmitri Shostakovich & Olympic Orchestra,Louis Armstrong 1928 - 1931. ,Beethoven: The Piano Sonatas Vol.1. ,"Britten:  Serenade for Tenor, Horn and Strings. ",Walton: Symphony No.1/Violin Concerto. ,A Tapestry of Dreams. ,Cats - Original London Cast Recording. ,The English Patient original soundtrack recording. ,Single 45. ,"
Kirsty Young talks to conductor and composer Harry Rabinowitz.

Show more

", ,,1f9df192-a621-4f54-8850-2c5373b7eac9,,d019a8cc-060f-4491-83d6-76e1211a1a08,5f264b87-d5f6-487d-aa3e-ae4c5f0c6fc9,03333a57-b696-44e2-9e19-588c268ebfc6,f0ac992d-edd9-4672-ac23-ba0ca93f6539,519dd32e-8f30-4380-8826-7aa99169e1bb, ,0,"https://www.bbc.co.uk/programmes/b0606vtx
"
0,Harry Secombe,Mon 10 Sep 1956,,,Fantasia on Greensleeves,Sospan Fach,Casarella,Oh for the wings of a dove (Hear My Prayer),"""E lucevann le stelle"" (Tosca)",Polly Garter's Song (from Under Milk Wood),Underneath The Arches,September Song (Knickerbocker Holiday),"London Symphony Orchestra, Ralph Vaughan Williams & Bryden Thomson",Royal Welsh Male Choir,Beniamino Gigli,Felix Mendelssohn,Giacomo Puccini,Dylan Thomas,Flanagan and Allen,Walter Huston,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor and comedian Harry Secombe.
Luxury: Collapsible concrete model of Broadcasting House
", ,4f3b96ed-f1f1-4a68-be73-0e0657837096,,0349e03f-bb71-4b0f-b727-47fa326bc690,0e85eb79-1c05-44ba-827c-7b259a3d941a,a693df4a-8762-4a45-b7fd-6695b558385e,144f8dd2-f0dd-49df-94ae-d4062c64afc5,b1a25185-3dac-4876-ae0c-13385b32dcff,4ee8c019-7952-427d-af09-378df44c9302, ,0,"https://www.bbc.co.uk/programmes/p009y97d
"
