,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,"N.Busch, J.Kuchmy, M.Parry, M.Wilson",Fri 15 Oct 1982,"The Memoirs of Hector Berlioz - Hector Berlioz, A Christmas Carol - Charles Dickens, The World Atlas of Wine - Hugh Johnson,","Razor and shaving soap, a video player with a tape of Laurel & Hardy, wine and a violin",Fruhling (Four Last Songs),Violin Sonata No. 3 in C minor,"Brandenburg Concerto No 5 in D major, BWV 1050",Mass in B Minor - Credo,Space Oddity,Symphony no.1 in C minor op.68 (feat. Olari Elts & BBC National Orchestra of Wales),Symphony No 5 in C sharp minor (feat. BBC Scottish Symphony Orchestra),"Pavane, Op 50",Richard Strauss,Edvard Grieg,"Johann Sebastian Bach, Lars Ulrik Mortensen & Ensemble 415",Johann Sebastian Bach,David Bowie,"Johannes Brahms, BBC National Orchestra of Wales & Olari Elts",Gustav Mahler & BBC Scottish Symphony Orchestra,"Gabriel Fauré, Orchestre symphonique de Montréal, Choeur de l'Orchestre symphonique de Montréal & Charles Dutoit",None,None,None,None,None,None,None,None,"
Roy Plomley's castaways are members of the London Philharmonic Orchestra.
Book: Books by Hector Berlioz, Charles Dickens, Hugh Johnson and a cookery bookLuxury: Razor and shaving soap, a video player with a tape of Laurel & Hardy, wine and a violin
", ,4cb43d82-824e-4034-b03d-1a98f36f6e16,013c8e5b-d72a-4cd3-8dee-6c64d6125823,24f1766e-9635-4d58-a4d4-9413f9f98a4c,24f1766e-9635-4d58-a4d4-9413f9f98a4c,5441c29d-3602-4898-b1a1-b77fa23b8e50,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,8d610e51-64b4-4654-b8df-064b0fb7a9d9,, ,0,"https://www.bbc.co.uk/programmes/p009mk9m
"
0,Nadia Nerina,Mon 18 Oct 1965,Illustrated book on Greek mythology,Piece of sculpture,The Hills of Ixopo,Seven Sonnets of Michelangelo,Elihu's Dance of Youth from Job,Hide Not Thou Thy Face from Us,Symphony no. 7 in C major Op.60 (Leningrad),Prelude No 6,Four in the morning (from Façade),Adagio in G Minor for Organ & Strings,Frank Roane,Benjamin Britten,Ralph Vaughan Williams,King's College Chapel Choir,Dmitri Shostakovich,Johann Sebastian Bach/Loussier,William Walton,Tomaso Albinoni & Remo Giazotto,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is prima ballerina Nadia Nerina.
Favourite track: Seven Sonnets of Michelangelo (No 30) by Benjamin BrittenBook: Illustrated book on Greek mythologyLuxury: Piece of sculpture
", ,,49ae5227-605a-47a8-9b8e-cd89bf01a97c,4f3b96ed-f1f1-4a68-be73-0e0657837096,,519dd32e-8f30-4380-8826-7aa99169e1bb,,d019a8cc-060f-4491-83d6-76e1211a1a08,, ,0,"https://www.bbc.co.uk/programmes/p009y3wb
"
0,Nadiya Hussain,Fri 19 Aug 2016,BOOK CHOICE,LUXURY ITEM,"No Woman, No Cry",The Best Things In Life Are Free,As Long As You Love Me,Summer Breeze,Accidentally in Love,Nine Million Bicycles,7 Years,Canon in D major,Bob Marley & The Wailers,Luther Vandross & Janet Jackson,Backstreet Boys,The Isley Brothers,Counting Crows,Katie Melua,Lukas Graham,"Johann Pachelbel, Berlin Philharmonic Orchestra & Herbert von Karajan",Legend. ,Luther Vandross: Greatest Hits 1981-1995. ,Backstreets Back. ,Forever Gold. ,Accidentally In Love. ,Piece By Piece. ,Lukas Graham. ,Adagio-Karajan. ,"
Kirsty Young interviews Nadiya Hussain, baker winner of The Great British Bake Off 2015.

Show more

", ,c296e10c-110a-4103-9e77-47bfebb7fb2e,816d9b5d-eaf9-4a97-b5f7-6e82cd01aafe,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,4a76400d-283f-492e-9754-18ef41755f81,a0327dc2-dc76-44d5-aec6-47cd2dff1469,39e32995-6515-40b2-a6f0-841524047edc,124cec07-44f1-4a99-9aaa-96a5bb9ec0bd,2251b277-2dfb-4cf1-83f3-27e29f902440, ,0,"https://www.bbc.co.uk/programmes/b07nng5j
"
0,Nana Mouskouri,Tue 27 Feb 1979,The Little Prince - Antoine de Saint-Exupery,Telephone,Come Rain or Come Shine,Old Friends,When The Fires Light Up (from Lilacs Out Of The Dead),Le plat pays,Casta Diva from Norma,Blow the Wind Southerly,Girl From The North Country (feat. Johnny Cash),Mon Dieu,Judy Garland & Harold Arlen,Simon & Garfunkel,Manos Hadjidakis,Jacques Brel,Vincenzo Bellini,[traditional] & Kathleen Ferrier,Bob Dylan,Édith Piaf,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is singer Nana Mouskouri.
Favourite track: Girl From The North Country by Bob DylanBook: The Little Prince by Antoine de Saint-ExuperyLuxury: Telephone
", ,b9348d59-b91b-423f-847b-8db155a0653b,5d02f264-e225-41ff-83f7-d9b1f0b1874a,e34c6bac-7b2b-4898-a488-81792da6aca3,91eda19b-1437-42cd-b7af-69df24b7f275,6f5bfd20-84cc-4879-8a40-05631ad576c7,9be7f096-97ec-4615-8957-8d40b5dcbc41,72c536dc-7137-4477-a521-567eeb840fa8,4f8ef4a3-40fa-46b5-8773-97686a8424f4, ,0,"https://www.bbc.co.uk/programmes/p009mxq8
"
0,Nancy Spain,Mon 5 Mar 1956,,,Tommy Atkins,Play A Simple Melody,Never Gonna Dance,Ständchen Op 17'2,Johann Strauss II - Tales from the Vienna Woods,Le bateau des iles,Maud,Poor John,The Band of the Coldstream Guards,Stanley Black & His Orchestra,Fred Astaire,Richard Strauss,Johann Strauss II,Tino Rossi,Joyce Grenfell,Winifred Atwell,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer and journalist Nancy Spain.
Book: Fifth Form of St Dominic's by Talbot Baines
", ,c7cdb399-a9f6-45b7-9602-b9515723813d,981aa60f-7cc0-4b0a-abab-808107deeac9,3ae3fa20-d295-467c-b59f-969376a28470,4cb43d82-824e-4034-b03d-1a98f36f6e16,8255db36-4902-4cf6-8612-0f2b4288bc9a,ddae9cc8-caf5-4e9a-9606-62a065fbc92b,3838a15d-56f2-468d-b7ee-2f68e1c41c49,b182700d-c0e2-4e3a-8373-e57a76333227, ,0,"https://www.bbc.co.uk/programmes/p009y9h7
"
0,Naomi Jacob,Mon 9 Jun 1958,,,La Traviata Prelude to Act 1,"Frédéric Chopin - Prelude in C minor, Op. 28 No. 20",Suicidio (from La Gioconda),Songs my Mother Taught Me,Vissi d'arte from Tosca,Now is the Hour (feat. Jane Horrocks),Nessun dorma,We'll Gather Lilacs,"Philharmonia, Giuseppe Verdi & Carlo Maria Giulini",Frédéric Chopin,Gina Cigna,Antonín Dvořák,Giacomo Puccini,Gracie Fields & Jane Horrocks,Giacomo Puccini,Harry Acres and his Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is novelist and biographer Naomi Jacob.
Luxury: Soap
", ,f1bedf1f-4445-4651-9c35-f4a3f3860a13,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,a693df4a-8762-4a45-b7fd-6695b558385e,e4a0e9ed-a318-4396-9f23-1d68ec924241,a693df4a-8762-4a45-b7fd-6695b558385e,, ,0,"https://www.bbc.co.uk/programmes/p009y88m
"
0,Naomi Klein,Fri 1 Dec 2017,BOOK CHOICE,LUXURY ITEM,First We Take Manhattan,Draft Dodger Rag,One Way Or Another,Do-Re-Mi,Desaparecido,God Blessed Our Love,Rising,Mother and Child Reunion,Leonard Cohen,Pete Seeger,Blondie,Woody Guthrie,Man Chao,Al Green,Lhasa,Paul Simon,I'm Your Man. ,Essential Pete Seeger. ,Parallel Lines. ,Dust Bowl Ballads. ,Clandestino. ,True Love - A Collection. ,Lhasa. ,Paul Simon. ,"
Naomi Klein, writer and activist, is interviewed by Kirsty Young for Desert Island Discs.

Show more

", ,65314b12-0e08-43fa-ba33-baaa7b874c15,af18a9bc-e4ab-4068-9489-b64e8186fcf1,4d2956d1-a3f7-44bb-9a41-67563e1a0c94,cbd827e1-4e38-427e-a436-642683433732,,fb7272ba-f130-4f0a-934d-6eeea4c18c9a,95db1c7c-21b8-4956-82ad-20217cd5d395,05517043-ff78-4988-9c22-88c68588ebb9, ,0,"https://www.bbc.co.uk/programmes/b09gc4p7
"
0,Naomi Mitchison,Fri 12 Apr 1991,Book of Modern Poetry,Endless supply of writing materials,"Finlandia, Op 26",Ye Canny Shove Yer Granny,Dragon School Song,Night Mail,Götterdämmerung,The Rite of Spring (feat. BBC Symphony Orchestra),African Tribal Song,Kishmul's Galley,"Jean Sibelius, Oslo-Filharmonien & Mariss Jansons",Robin Hall & Jimmy MacGregor,The Children Of Dragon School Oxford,Patrick Wymark,Richard Wagner,Игорь Фёдорович Стравинский & BBC Symphony Orchestra,The Botswana Tribe,Kenneth McKellar,Sibelius: Finlandia. ,Robin Hall & Jimmie MacGregor: We Belong To Glasgow. ,None,Poetry And Song/ Vol 1. ,Wagner: Gotterdammerung. ,Stravinsky - Rite Of Spring/ Firebird. ,None,Scotland The Brave. ,"
Sue Lawley's castaway is writer Naomi Mitchison.
Favourite track: Kishmull's Galley by Kenneth McKellar and OrchestraBook: Book of Modern PoetryLuxury: Endless supply of writing materials
", ,691b0e9d-9e57-41cf-932d-a3d21b068e75,,,,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,c278de2c-9696-4fdf-a919-0781cd945e2c,,d66a99f5-8dd0-4c25-a141-8850b13cc50a, ,0,"https://www.bbc.co.uk/programmes/p0093z9q
"
0,Nat Gonella,Mon 1 Aug 1966,Collected short stories - Damon Runyon,Golf clubs and balls,Basin Street Blues,Hallelujah Chorus - Messiah,Wild Man Blues,Whispering,Georgia on My Mind,"I'm Coming, Virginia",O don fatale (from Don Carlos),Trumpet Blues,Louis Armstrong & His All-Stars,George Frideric Handel,Louis Armstrong and His Hot Seven,Roy Fox & His Band,Louis Armstrong & His All-Stars,Benny Goodman and His Orchestra,Giuseppe Verdi,Harry James and His Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is bandleader and jazz trumpeter Nat Gonella.
Favourite track: Wild Man Blues by Louis ArmstrongBook: Collected short stories by Damon RunyonLuxury: Golf clubs and balls
", ,f617ed55-7691-41cc-9671-c04a29641125,27870d47-bb98-42d1-bf2b-c7e972e6befc,eea8a864-fcda-4602-9569-38ab446decd6,79783f9a-0d79-461f-a3cf-75b11d95c7ce,f617ed55-7691-41cc-9671-c04a29641125,a2019e51-9ce1-4c14-98d0-25428761e9f0,f1bedf1f-4445-4651-9c35-f4a3f3860a13,42ba7d72-b77c-4989-9880-c893b89db4c6, ,0,"https://www.bbc.co.uk/programmes/p009y3d2
"
0,Natalia Makarova,Fri 27 Jul 1984,Poetry - Aleksandr Pushkin,Wine - Chateau Margaux 1961,"Egmont, Op 84 (Overture)","Violin Concerto No 1 in G minor, Op 26 (feat. Sakari Oramo & Royal Stockholm Philharmonic Orchestra)",Violin Concerto No. 2 in E major,Violin Concerto in D major,Violin Sonata in A Major,Das Lied von der Erde (Song of the Earth),"Poème (feat. Julia Fischer, Yakov Kreizberg & Monte-Carlo Philharmonic Orchestra)",Romance in F major Op.50 for violin and orchestra,Ludwig van Beethoven,"Daniel Hope, Max Bruch, Kungliga Filharmonikerna & Sakari Oramo",Johann Sebastian Bach,Johannes Brahms,César Franck,Gustav Mahler,"Ernest Chausson, Julia Fischer, Orchestre Philharmonique de Monte-Carlo & Yakov Kreizberg",Ludwig van Beethoven,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is ballet dancer Natalia Makarova.

Show more

", ,1f9df192-a621-4f54-8850-2c5373b7eac9,b932f5eb-dd3d-479d-b2a0-694cb61327bb,24f1766e-9635-4d58-a4d4-9413f9f98a4c,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,69802473-e361-4e15-bbd8-53fe83cd1587,8d610e51-64b4-4654-b8df-064b0fb7a9d9,dbe921e2-a7a7-4d4c-b2f8-109da1cd1e3a,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p009mhcq
"
0,Natalie Wood,Fri 16 May 1980,Poetry - e e cummings,Piano,Ständchen (Leise flehen meine Lieder),Kalinka`,Greensleeves,Piano Sonata No 14 in C sharp minor Op 27 No 2 'Moonlight',Just Like A Woman,American Pie,We’ve Got Tonite,Imagine,Franz Schubert,The Red Army Ensemble: Moscow Military District,Ambrosian Children's Choir and Players,Ludwig van Beethoven,Bob Dylan,Don McLean,Bob Seger & the Silver Bullet Band,,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Natalie Wood.
Favourite track: American Pie by Don MacLeanBook: Poetry by e e cummingsLuxury: Piano
", ,f91e3a88-24ee-4563-8963-fab73d2765ed,960aafa3-510d-4d47-a70a-bed415ed9052,,1f9df192-a621-4f54-8850-2c5373b7eac9,72c536dc-7137-4477-a521-567eeb840fa8,fa19ee38-c2a9-4ed1-9b24-a18100cf9db3,aeea3060-05ba-4dda-8c92-3dc899e24ce8,, ,0,"https://www.bbc.co.uk/programmes/p009mw86
"
0,Nathaniel Gubbins,Thu 6 Aug 1942,,,The Faery Song (from The Immortal Hour),Waltz in B flat major Op.39 No.1,You're the Top,Passing By,June In January,Mad Dogs & Englishmen,Medley Of Negro Spiritualists,The Beggar's Opera,Webster Booth,Johannes Brahms,Victor Young & His Orchestra,Alvar Liddell,Bing Crosby,Noël Coward,Paul Robeson,Michael Redgrave and Company,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Nathaniel Gubbins.
", ,17563e4a-6f8c-4109-b17e-01cce16d7fa0,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,259fa832-0d4f-487b-a1d5-bf84490f0ef8,,2437980f-513a-44fc-80f1-b90d9d7fcf8f,6aa4bb26-36f8-4a96-8328-4810a4e9a617,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,, ,0,"https://www.bbc.co.uk/programmes/p009y0hr
"
0,Naunton Wayne,Fri 15 May 1953,,,Richard Wagner - Die Meistersinger von Nurnberg - opera in 3 acts,Melville Gideon Medley,Deep Purple,Vi Ser For Lidt Til Hinanden,A Pretty Girl is Like a Melody,"Symphony No 7 in A major, Op 92",It's the Woman Who Pays,Symphony no. 6 in B minor Op.74 (Pathetique),Richard Wagner,Melville Gideon With His Orchestra,Paul Weston & His Orchestra,Gaby Stenberg & Hans Kurt,André Kostelanetz & His Orchestra,"Ludwig van Beethoven, Daniel Barenboim & West-Eastern Divan Orchestra",Chick Endor & Charlie Farrell,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Naunton Wayne.
", ,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,,5a5629fe-d51d-4356-87e4-c203d784d1fa,,6a3702f3-a912-43bc-b621-69830287defa,1f9df192-a621-4f54-8850-2c5373b7eac9,,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009ybt1
"
0,Ned Sherrin,Fri 14 Jul 1989,No Bed For Bacon - Caryl Brahms,Seed potatoes,Up From Somerset,As time goes by,Trois Gymnopedies,You Don't Know What It's Like To Fall In Love At 40,Woman Talk,Side By Side By Side,Why Do People Fall In Love?,Not Funny,Peter Dawson,Elisabeth Welch,Orchestre national du Capitole de Toulouse,Barbara Windsor,Cleo Laine,Millicent Martin,Patricia Hodge,Marion Montgomery,Ambassador of Song. ,Elisabeth Welch In Concert. ,Satie: Gymnopedies and Other Piano Works. ,Sing A Rude Song. ,Spotlight on Cleo Laine. ,Side By Side By Side. ,Mitford Girls. ,Sometimes in the Night. ,"
Sue Lawley's castaway is broadcaster Ned Sherrin.

Show more

", ,5aa05945-14f6-43ec-b583-ee93a1cd93bc,11865de5-ad3e-4e44-bdd2-b7caaa303368,c0fbae32-1362-44c4-95e7-47a26e316a17,ae0690f8-320d-46da-82bc-b44d1dab9b99,51394536-9baa-4e6e-9db6-0b6137c111e0,08cc80e9-85c9-47f2-9308-de332b0fb324,157c072f-bf32-4d47-ad49-88ba8992f3f9,23d4dbe7-8262-4eb1-bafb-50b1eed4029c, ,0,"https://www.bbc.co.uk/programmes/p009mdnz
"
0,Neil Jordan,Fri 28 Jan 2000,A la Recherche du Temps Perdu - Marcel Proust,Typewriter,Round Midnight,No One Knows,A Night In Tunisia,A Change Is Gonna Come,Danny boy,Once I Loved,She is Far From the Land,Pavane pour une infante defunte,"Stan Tracey, Thelonious Monk, Bobby Wellins, Andrew Cleyndert & Clark Tracey",Dion & The Belmonts,Charlie Parker,Sam Cooke,Academy of St Martin in the Fields,Astrud Gilberto,John McCormack,Louis Lortie & Maurice Ravel,The Art of the Ballad. ,Rockfile: Volume 28. ,Charlie Parker: the Dial Masters Original Choice takes. ,CD Diamond Series: Sam Cooke. ,Grainger/Leighton: Chamber Works.. ,The Silver Collection: Astrid Gilberto. ,Popular Songs and Irish Ballads. ,Ravel: Bolero: Daphneis et Chloe: Pavane. ,"
Sue Lawley's castaway is filmmaker and writer Neil Jordan.

Show more

", ,8e8c7417-c905-46b1-b42a-5260b4274ed4,236459d6-f9ea-4f89-9239-21c0bedaaf25,c7356af9-9ea6-4a78-a55b-c73775716312,6c8fd0be-d961-454c-aee0-4366a6dbc993,f0ac992d-edd9-4672-ac23-ba0ca93f6539,8d08cabf-03a3-4f38-a815-8197a0984f19,22c3d1de-793c-4094-b60a-26775617c14b,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a, ,0,"https://www.bbc.co.uk/programmes/p0094b8y
"
