,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,G H Elliott,Mon 24 Nov 1958,,,My Heart and I,I've Got a Lovely Bunch of Coconuts,White Christmas,Silver Bell,I Belong To Glasgow,Begin the Beguine,Yours,Keep Right On To The End Of The Road,Harry Secombe,Billy Cotton & His Band,Bing Crosby,Gertie Gitana,Will Fyffe,The Mantovani Orchestra,Vera Lynn & Mantovani,Sir Harry Lauder,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is musician G H Elliott.
Luxury: Waistcoat (his mascot since 1903)
", ,adcfccd9-30fa-449b-a4bb-4c1e3312912c,cf98320a-c0ee-466d-8eee-e95e88a7ecec,2437980f-513a-44fc-80f1-b90d9d7fcf8f,7acc76e5-f517-422c-a4a2-f68ce5a91a2a,a6d02e69-f37c-4730-917c-c138cf5ed02b,ef46f19f-5d56-4757-8fe4-d5f79dd143c4,7d32fa5a-7ccb-483b-87ea-5370b4be4d64,b51f17ae-1405-46e0-95cb-b31252bb4355, ,0,"https://www.bbc.co.uk/programmes/p009y80y
"
0,G O Nickalls,Mon 21 Mar 1966,Pear's Cyclopaedia,Rembrandt's Titus,"Jesu, Joy of Mans Desiring from Cantata BWV 147",Dove sono from The Marriage of Figaro,Ich Weiss auf den Wieden ein kleines Hotel,Strange Ddventure (from The Yeomen of the Guard),Younger Than Springime,Cry of the Peacock,All My Loving,The Bee and the Snake,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Helga Mott,Gilbert & Sullivan,John Kerr,Cleo Laine,The Beatles,Deller Consort,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is rower G O Nickalls.
Favourite track: Jesu, Joy of Man's Desiring by Johann Sebastian BachBook: Pear's CyclopaediaLuxury: Rembrandt's Titus
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,b972f589-fb0e-474e-b64a-803b0364fa75,,,a6dfee0c-9581-4ea9-834a-b9e82f2a28a8,51394536-9baa-4e6e-9db6-0b6137c111e0,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,2adc8bdf-0c91-4f60-abdd-42c43ca6451f, ,0,"https://www.bbc.co.uk/programmes/p009y3mw
"
0,Gale Pedrick,Mon 15 Feb 1965,Who's Who,Writing materials,Fossils (Carnival of the Animals),"Waltz in A flat major, Op. 42",Flowers,A Vucchella,Steptoe and Son at Buckingham Palace,Quand j'étais roi de Béotie (from Orpheus in the Underworld),An Irish Symphony,A magnet hung in a hardware shop (from Patience),Camille Saint‐Saëns,Frédéric Chopin,Hermione Gingold,Tito Gobbi & Gerald Moore,Wilfred Bramble & Harry H Corbett,Jacques Offenbach,Sir Hamilton Harty,Gilbert & Sullivan,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is author and scriptwriter Gale Pedrick.
Favourite track: Flowers by Hermione GingoldBook: Who's WhoLuxury: Writing materials
", ,4137c070-15b2-4d00-a9f0-3517d02a9ba8,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,bc635975-0ab6-4d94-b918-9ef531dad1eb,,,27bc8cf5-72e1-4888-87de-259fbcaac3ff,16392551-ccfd-4088-b7cd-d6719ee299a4,, ,0,"https://www.bbc.co.uk/programmes/p009y4c0
"
0,Gareth Edwards,Mon 10 Dec 1973,The collected works - Dylan Thomas,Cornet,Bridge Over Troubled Water,Delilah,March of the Men of Harlech,The Blue Danube,My Way,Paperback Writer,Rave On,"1812 Overture, Op 49",Simon & Garfunkel,Tom Jones,Morriston Orpheus Choir,Johann Strauss II,Frank Sinatra,The Beatles,Buddy Holly,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is the Captain of the Welsh rugby team Gareth Edwards.
Favourite track: Bridge Over Troubled Waters by Simon & GarfunkelBook: The collected works by Dylan ThomasLuxury: Cornet
", ,5d02f264-e225-41ff-83f7-d9b1f0b1874a,57c6f649-6cde-48a7-8114-2a200247601a,c0c4335f-6493-41d1-aee0-c48fa4141ff3,8255db36-4902-4cf6-8612-0f2b4288bc9a,197450cd-0124-4164-b723-3c22dd16494d,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,d352f5dd-3023-4565-a7bb-52396bf8821d,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009n89s
"
0,Gareth Malone,Fri 30 Dec 2016,BOOK CHOICE,LUXURY ITEM,Symphony No. 5,Is My Team Ploughing? From A Shropshire Lad,Rothsea-O,Hör ich das Liedchen klingen,Now sleeps the crimson petal,Soave sia il vento,Bridge Over Troubled Water,"Ehre sei dir, Gott, gesungen","Dmitri Shostakovich, London Symphony Orchestra & Mstislav Leopoldovich Rostropovich",Bryn Terfel & Malcolm Martineau,The Clancy Brothers and Tommy Makem,"Robert Schumann, Fritz Wunderlich & Hubert Giesen","Paul Mealor, Tenebrae Choir & Nigel Short","Wolfgang Amadeus Mozart, Anne Murray, Ferruccio Furlanetto, Kiri Te Kanawa, Vienna Philharmonic & James Levine",Simon & Garfunkel,"Johann Sebastian Bach, English Baroque Soloists, Monteverdi Choir, London Oratory Junior Choir & Sir John Eliot Gardiner",Symphony No 5. ,The Vagabond. ,The Absolutely Essential 3CD Collection. ,Dichterliebe. ,A Tender Light. ,Così Fan Tutte. ,Bridge Over Troubled Water. ,"Bach, J.S.: Christmas Oratorio; St. Matthew Passion; St. John Passion; Mass in B minor. ","
Gareth Malone, choirmaster, is interviewed by Kirsty Young for Desert Island Discs.

Show more

", ,519dd32e-8f30-4380-8826-7aa99169e1bb,4b4dea0b-f5a1-4f55-a870-24ad4cdc0840,845168c1-a232-4c06-b0c3-0e72531ae1c5,3cd3882c-00f8-4362-a0c2-ad89ed248533,da6a3be4-454c-44ac-9318-a63fcb8e86a6,b972f589-fb0e-474e-b64a-803b0364fa75,5d02f264-e225-41ff-83f7-d9b1f0b1874a,24f1766e-9635-4d58-a4d4-9413f9f98a4c, ,0,"https://www.bbc.co.uk/programmes/b085pxy6
"
0,Garrison Keillor,Sun 12 Feb 1995,Thesaurus - Roget,Set of china (four place settings),Ojo,Guide Me O Thou Great Jehovah,Deep Creek,"Romance in F minor, Op 11",A Capital Ship,The Bottle Let Me Down,Fun Fun Fun,Abide With Me Fast Falls The Evertide,Leo Kottke,Hughes/Williams,Butch Thompson,Antonín Dvořák,Bill Hinkley & Judy Larson,Merle Haggard,The Beach Boys,Huddersfield Choral Society,6 And 12 String Guitars. ,The Hymns Album. ,New Orleans Joys. ,"Works By Beethoven, Schubert And Dvorak. ",Out In Our Meadow. ,The Best Of Country Music - 16 Great Songs. ,Summer Dreams. ,The Hymns Album. ,"
Sue Lawley's castaway is writer and broadcaster Garrison Keillor.

Show more

", ,1a21878d-05b1-4983-a059-7cf3abee04b7,,1824b180-8c87-48db-b472-0120e19c72f4,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,,deb2448c-6fdf-4d31-921e-757630515dbd,ebfc1398-8d96-47e3-82c3-f782abcdb13d,20bfe444-0cc4-400e-a986-7a28c300a38e, ,0,"https://www.bbc.co.uk/programmes/p0093qnj
"
0,Garry Kasparov,Fri 2 Feb 2018,BOOK CHOICE,LUXURY ITEM,Strangers In The Night,"Symphony No. 40, K.550 in G Minor, 1st Movement: Molto Allegro","Etudes, Op.10 - No. 12 in C minor ""Revolutionary""",Overture to Phantom of the Opera,Koni priveredlivye,Prélude to Carmen,Main Title (The Godfather Waltz),Chi Mai,Frank Sinatra,"Wolfgang Amadeus Mozart, Berlin Philharmonic Orchestra & Herbert von Karajan",Frédéric Chopin & Vladimir Ashkenazy,Original London Cast,Vladimir Vysotsky,"Georges Bizet, Berlin Philharmonic Orchestra & Sir Simon Rattle",Nino Rota & Carlo Savina,Ennio Morricone,My Way: The Best of Frank Sinatra. ,Mozart: Symphonies Nos. 40 & 41. ,Piano Sonatas Nos. 1 - 3; 24 Etudes; Fantaisie in F minor. ,Phantom of the Opera: Original London Cast. ,Rossiyskie bardy. Vladimir Vysotsky. Chast' 2. ,None,The Godfather: Original Soundtrack. ,The Very Best of Ennio Morricone. ,"
Kirsty Young interviews chess grandmaster Garry Kasparov.

Show more

", ,197450cd-0124-4164-b723-3c22dd16494d,b972f589-fb0e-474e-b64a-803b0364fa75,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,,ebe42a0b-6a6f-4eb6-b436-5c0f351d96f3,9bd20e6a-b41d-4983-a5b6-c0ff849fa235,d52ac009-4ed5-4d01-97d5-8280bb7dd460,a16e47f5-aa54-47fe-87e4-bb8af91a9fdd, ,0,"https://www.bbc.co.uk/programmes/b09pjldq
"
0,Gary Glitter,Fri 10 Apr 1981,Times Concise Atlas,Elastoplast,In The Mood,(Just Like) Starting Over,Busted,Violin Concerto in D major Op.61 (feat. BBC Scottish Symphony Orchestra),Falling In Love Again,Bona Artists (feat. Kenneth Williams & Hugh Paddick),All Shook Up,"Rock and Roll, I Gave You The Best Years Of My Life",Glenn Miller,John Lennon & Yoko Ono,Ray Charles,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Marlene Dietrich,"Kenneth Horne, Kenneth Williams & Hugh Paddick",Elvis Presley,Gary Glitter,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is singer Gary Glitter.

Show more

", ,7b353d3c-2bd9-40e3-a21d-b7da3f941339,4d5447d7-c61c-4120-ba1b-d7f471d385b9,2ce02909-598b-44ef-a456-151ba0a3bd70,1f9df192-a621-4f54-8850-2c5373b7eac9,191cba6a-b83f-49ca-883c-02b20c7a9dd5,c3639c08-8c64-45e5-a504-903f7bd08a3a,01809552-4f87-45b0-afff-2c6f0730a3be,5e05d900-51e0-4dda-81e2-f4c0bd7ed5e6, ,0,"https://www.bbc.co.uk/programmes/p00f9p83
"
0,Gary Lineker,Fri 5 Oct 1990,Wisden Almanack for cricketers,Bowling machine,Holding Back the Years,Soul Limbo,Maggie May,Wonderful Tonight,Always Look On The Bright Side Of Life,Tunnel Of Love (Album Version),With Or Without You,Candle In The Wind,Simply Red,Booker T. & The MG’s,Rod Stewart,Eric Clapton,Monty Python,Dire Straits,U2,Elton John,Now Smash Hits of the 80s. ,Soul Limbo. ,Every Picture Tells A Story. ,Crossroads. ,Monty Python Sings. ,Making Movies. ,The Joshua Tree. ,Goodbye Yellow Brick Road. ,"
Sue Lawley's castaway is England captain Gary Lineker.

Show more

", ,a9100753-f539-43cf-bcc9-579566fb512e,377015fb-c02f-4b05-960b-e0df6a7ea99e,a35237a0-4f47-40a6-b6f3-1e786db23402,618b6900-0618-4f1e-b835-bccb17f84294,4a5c8526-f8ec-43f1-97af-49722ad88394,614e3804-7d34-41ba-857f-811bad7c2b7a,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,b83bc61f-8451-4a5d-8b8e-7e9ed295e822, ,0,"https://www.bbc.co.uk/programmes/p0093zxk
"
0,Gavin Bryars,Fri 10 Apr 1998,Science and Civilisation in China - Joseph Needham,Gravity chair,My Foolish Heart,History Repeating (feat. Shirley Bassey),"The Lord Is Listening To Ya, Hallelujah",The Idea of North from Solitude Trilogy,Tom Traubert's Blues (Four Sheets to the Wind in Copenhagen),Traumlicht from (Drei Männerchöre),Parsifal,Epilogue from Wonderlawn,Bill Evans Trio,Propellerheads,The Carla Bley Band,Glenn Gould,Tom Waits,Richard Strauss,Richard Wagner,Gavin Bryars Ensemble,Waltz for Debby. ,Decksandrumsandrockandroll. ,Carla Bley Live!. ,Solitude Trilogy: Three Sound Documentaries. ,Asylum Years. ,German Romantic Partsongs. ,None,Cadman Requiem. ,"
Sue Lawley's castaway is experimental composer Gavin Bryars.

Show more

", ,d0630a08-3b40-4cb4-9f48-7d525262c1f6,cbaafb20-eb74-421a-85f1-2bb6341aad23,051cf989-fccc-463f-9710-575e1923d060,7002bf88-1269-4965-a772-4ba1e7a91eaa,c3aeb863-7b26-4388-94e8-5a240f2be21b,4cb43d82-824e-4034-b03d-1a98f36f6e16,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,a12d06aa-2ccd-48c9-8d21-b9da1e06af77, ,0,"https://www.bbc.co.uk/programmes/p00943fd
"
0,Gavin Laird,Fri 30 Oct 1992,Diary - Samuel Pepys,Year's recording of the Today programme,Symphony No.3 in C Minor 'Organ',The Hebrides Overture (Fingal's Cave) Op.26 (feat. Riccardo Chailly),Symphony no. 6 in F major  Op.68 (Pastoral) (feat. Frans Brüggen),Ol Man River,I Dreamed A Dream,What A Wonderful World,"Symphony No 40 in G minor, K 550",Lohengrin (Act 3 Prelude) (feat. Adrian Boult & Philharmonia Orchestra),Camille Saint-Saëns & Paavo Järvi,"Gewandhausorchester Leipzig, Riccardo Chailly & Felix Mendelssohn","Orchestra of the Eighteenth Century, Ludwig van Beethoven & Frans Brüggen",Paul Robeson,Patti LuPone,Louis Armstrong,"Wolfgang Amadeus Mozart, Les Musiciens du Louvre & Marc Minkowski","Richard Wagner, Philharmonia Orchestra & Sir Adrian Boult",None,Ouverturen. ,Symphonies 1 - 6. ,None,Les Miserables - Original London Cast. ,This Is My Song - Love Songs Of The 60s. ,Symphonien Nr 40 & 41. ,Wagner. ,"
Sue Lawley's castaway is trade unionist Gavin Laird.
Favourite track: Symphony No 3 in C Minor (Organ Symphony) by Camille Saint-SaënsBook: Diary by Samuel PepysLuxury: Year's recording of the Today programme
", ,4137c070-15b2-4d00-a9f0-3517d02a9ba8,c51f9557-009f-420b-a933-47889780aad3,818b4526-69e0-4ce8-96ff-4586af1ef1f4,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,508963b8-c4d4-489f-a03a-26e323cb0cf9,eea8a864-fcda-4602-9569-38ab446decd6,b972f589-fb0e-474e-b64a-803b0364fa75,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f, ,0,"https://www.bbc.co.uk/programmes/p0093xjb
"
0,Gavin Lyall,Mon 26 Jan 1976,From Here to Eternity - James Jones,Cards,When The Saints Come Marching In,John Henry,The Oldest Established Permanent Floating Crap Game In New York (from Guys and Dolls) (feat. Stubby Kaye & Johnny Silver),Symphony no. 9 in E minor Op.95 (From the New World) (feat. BBC National Orchestra of Wales),Bach Goes To Town,Tiger Rag,Things Ain't What They Used To Be,March Of The Bob Cats,Bunk Johnson and His New Orleans Band,Josh White,"Sam Levene, Stubby Kaye & Johnny Silver",Antonín Dvořák & BBC National Orchestra of Wales,Benny Goodman and His Orchestra,Benny Goodman,Johnny Hodges,Bob Crosby and The Bob Cats,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is thriller writer Gavin Lyall.
Favourite track: March Of The Bob Cats by Bob Crosby's Bob CatsBook: From Here to Eternity by James JonesLuxury: Cards
", ,576ae87b-6e07-4792-a9f9-71fdb19ff410,f0b3af36-a38b-4e5e-bf9a-d25ae11ca741,8aaca920-68f1-40d5-a9db-d1638766f94c,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,a2019e51-9ce1-4c14-98d0-25428761e9f0,b09ae88f-4156-4caa-b129-1cacb5e1632e,881d33d8-e86f-42e8-b571-dbde156f6907,5c85dad6-ff59-493c-ad18-9c466f868890, ,0,"https://www.bbc.co.uk/programmes/p009n126
"
0,Gayatri Devi,Fri 10 Aug 1984,Omnibus of books - James Herriot,Can of insect repellant,Moon River,Dhana Dhanye Pupse Bhara,A nightingale sang in Berkeley Square,These Foolish Things (Remind Me Of You),Chaudhvin Ka Chand Ho,As time goes by,Les Feuilles Mortes (Autumn Leaves),My Way,Henry Mancini,Mrs Dass and Accompaniment – Private Tape,Leslie “Hutch” Hutchinson,Nat King Cole,Mohammed Rafi,Dan Williams and His Orchestra,Yves Montand,Frank Sinatra,None,None,At The Piano. ,20 Greatest Love Songs. ,None,Casablanca. ,None,Greatest Hits. ,"
Roy Plomley's castaway is Gayatri Devi, Maharani of Jaipur.

Show more

", ,83e71a21-caf7-4e48-8ff7-6512d51e88a3,,613c87b2-024a-4e03-b51e-8129f6818e6f,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,28365249-f3fd-44db-8131-32cb170970c4,f2ba28b4-f581-4762-8d8d-14feb7657a84,edd6a7c3-d174-4e5b-9134-0f0cc6e2b0a5,197450cd-0124-4164-b723-3c22dd16494d, ,0,"https://www.bbc.co.uk/programmes/p009mhbb
"
0,Gemma Craven,Fri 29 Jan 1988,Floyd on Fish - Keith Floyd,Manicure set,The Banana Boat Song,Boil the Breakfast Early,Catch A Falling Star,America,Arabian Fantasy,"""Vesti la giubba"" from ""Pagliacci""",Without You,Where Do You Go To (My Lovely)?,Stan Freberg and Billy May's Music,The Chieftains,Perry Como,Chita Rivera,David Fanshawe Ensemble,"Jonas Kaufmann, Ruggero Leoncavallo, Orchestra dell'Accademia Nazionale di Santa Cecilia & Antonio Pappano",Nilsson,Peter Sarstedt,None,None,None,None,None,None,Without You. ,None,"
Michael Parkinson's castaway is actress Gemma Craven.

Show more

", ,,fce5eb9a-95a7-4a54-b9e4-fe1b036fbe57,0182474b-8a1d-46d0-9d0f-e6df353335ea,36b32b1d-f729-4d7a-a630-04befbb9589a,,9bfbcb17-bd72-444e-be7d-0129b6389ca1,e5963d26-01fa-40f5-b200-e0127f410a45,4889bd79-347c-448d-92e7-54620fab9dfe, ,0,"https://www.bbc.co.uk/programmes/p009mgjd
"
