,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Fanny & Johnnie Cradock,Mon 15 Oct 1962,", A History of the English-Speaking Peoples - Sir Winston Churchill","Typewriter, paper, golf clubs and balls",Les Sylphides (feat. Eugene Ormandy & Roy Douglas),String Quartet in D major,"Slavonic Dance in C major, Op 72 No 7",Symphony No. 5 in C minor (feat. BBC Scottish Symphony Orchestra),Clair de Lune,"Oboe Concerto in C major, K.314",Scheherzade,"None but the lonely heart, Op. 6. No. 6","The Philadelphia Orchestra, Fryderyk Chopin, Eugene Ormandy & Roy Douglas",César Franck,Katia & Marielle Labèque & Antonín Dvořák,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Claude Debussy,Wolfgang Amadeus Mozart,Nikolai Rimsky-Korsakov,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaways are food and wine experts Fanny & Johnnie Cradock.

Show more

", ,ff3fcff7-6c85-49d6-b954-ed7011a44e5a,69802473-e361-4e15-bbd8-53fe83cd1587,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,1f9df192-a621-4f54-8850-2c5373b7eac9,be50643c-0377-4968-b48c-47e06b2e2a3b,b972f589-fb0e-474e-b64a-803b0364fa75,4cfe7051-f649-4d07-83b3-7a732abe7249,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009y5v7
"
0,Fay Compton,Mon 4 Feb 1974,The complete works - Charles Dickens,Electric blanket,Love's Philosophy,Clair de Lune,"Piano Concerto in A minor, Op 16 (feat. BBC Scottish Symphony Orchestra)",Cat Duet,What Would I Be,The Swan of Tuonela,My Way,The Call (from Mary Rose),Frederick Delius,Claude Debussy,Edvard Grieg & BBC Scottish Symphony Orchestra,Gioachino Rossini,Val Doonican,"Osmo Vänskä, Sinfonia Lahti & Jean Sibelius",Frank Sinatra,Court Symphony,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Fay Compton.
Favourite track: Duetto Buffo Di Due Gatti by Gioacchino RossiniBook: The collected works by Charles DickensLuxury: Electric blanket
", ,2a006dfe-a7af-46d1-b38f-8c1d90dd230d,be50643c-0377-4968-b48c-47e06b2e2a3b,013c8e5b-d72a-4cd3-8dee-6c64d6125823,846be3c9-5f94-46ab-97b9-531335dd3658,4f1ea6eb-6f06-4a0a-9448-b20c84dbe470,691b0e9d-9e57-41cf-932d-a3d21b068e75,197450cd-0124-4164-b723-3c22dd16494d,, ,0,"https://www.bbc.co.uk/programmes/p009n84b
"
0,Fay Compton,Tue 13 May 1952,,,The Swan of Tuonela,Largo al Factotum from The Barber of Seville,And The Angels Sing,Suite For Two Pianos Opus 15 Waltz,To the Queen of my Heart  & Love's Philosophy,The Sorcerer's Apprentice,Si Tu M'Aimes,Variations on a Nursery Theme,"Osmo Vänskä, Sinfonia Lahti & Jean Sibelius","Gioachino Rossini, Thomas S. Allen, Academy of St Martin in the Fields & Sir Neville Marriner",Bing Crosby,Vitya Vronsky & Victor Babin,Frederick Delius,"Paul Dukas, The Philadelphia Orchestra & Leopold Stokowski",Jean Sablon & Gerald Wilson,Erno Dohnanyi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Fay Compton.
Luxury: Dogs
", ,691b0e9d-9e57-41cf-932d-a3d21b068e75,846be3c9-5f94-46ab-97b9-531335dd3658,2437980f-513a-44fc-80f1-b90d9d7fcf8f,,2a006dfe-a7af-46d1-b38f-8c1d90dd230d,8048b7be-cda8-4e5a-bc4b-57267fc05be1,,648d5cb0-c721-4193-9b2d-7452ac5e84e7, ,0,"https://www.bbc.co.uk/programmes/p009ycb6
"
0,Fay Godwin,Fri 22 Mar 2002,The Rattle Bag: An Anthology of Poetry - Ted Hughes,"Egg tempura paints, brushes, and boards to paint on",Suite for Solo Cello No.1 - 5th movement,Tutti Frutti,At the Balalaika,Don't Fence Me In,Suite for Solo Cello No. 1 in G Major - 1st movement,Orkney Wedding with Sunrise (feat. Scottish Chamber Orchestra),"String Quartet No. 13 in B flat major, Op. 130, 5th movement",John Brown's Body,Benjamin Britten,Little Richard,Ilona Massey,Cole Porter,Johann Sebastian Bach,"Davies, Peter Maxwell, Sir Peter Maxwell Davies & Scottish Chamber Orchestra",Ludwig van Beethoven,The Wayfarers Trio,Britten: Cello Sonata Op 65 etc. ,None,Orig Rec. from the film 'Balalaika' (1979). ,Hits of '44. ,Bach: Les 6 Suites Pour Violoncelle. ,Peter Maxwell Davies: Seven Songs Home. ,Beethoven: String Quartet no 13. ,Songs of the Blue and Grey. ,"
Sue Lawley's castaway is landscape photographer Fay Godwin.

Show more

", ,49ae5227-605a-47a8-9b8e-cd89bf01a97c,95c2339b-8277-49a6-9aaf-08d8eeeaa0be,,4a94a6cb-e70a-418b-bb53-a37897b950ce,24f1766e-9635-4d58-a4d4-9413f9f98a4c,db16dadb-0024-4758-b35e-111ca52c53ea,1f9df192-a621-4f54-8850-2c5373b7eac9,, ,0,"https://www.bbc.co.uk/programmes/p00947zh
"
0,Fay Maschler,Fri 19 Mar 1999,Cold Comfort Farm - Stella Gibbons,A huge supply of ouzo,The Times They Are A-Changin' ,Que reste-t-il do nos amours? What remains of our love,On a tree by a river (Tit Willow) (from The Mikado),The Banjo Song - PRIVATE TAPE,Goldberg Variations (Variation No.25),John Anderson My Jo - PRIVATE TAPE,Divinités du Styx (from Alceste),Mountain Greenery,Bob Dylan,Charles Trenet,Gilbert & Sullivan,Joanna Carey,Johann Sebastian Bach,Sally Bradshaw - Gertraud Gamerith - Franz Zebinger,Christoph Willibald Gluck,Mel Tormé,Bob Dylan: The Bootleg Series: Volume 1. ,Charles Trenet. ,None,None,1959 Salzburg Recital. ,None,The Voice of the Century. ,Rediscover the 50s: Sugartime. ,"
Sue Lawley's castaway is restaurant critic Fay Maschler.

Show more

", ,72c536dc-7137-4477-a521-567eeb840fa8,cf97f8c4-f287-4c0c-a07e-6ca2fdd8e8c2,,,24f1766e-9635-4d58-a4d4-9413f9f98a4c,,22790383-30ea-4dcc-a8d6-882fb1eb4669,4439c2fd-a754-4f6a-b3a6-791b47726156, ,0,"https://www.bbc.co.uk/programmes/p00942gx
"
0,Fay Weldon,Fri 14 May 2010,Kennedy's Latin Primer - Benjamin Hall Kennedy,Shotgun,Rockin' My Life Away,"Heidenröslein, D 257",Little Wheel Spin and Spin,A Tombstone Every Mile,Antiphon,People We Once Knew,Worst Fears,A Touch of Grey,Jerry Lee Lewis,"Werner Güra, Franz Schubert & Christoph Berner",Buffy Sainte-Marie,Dick Curless,"Sarah Walker, Henry Hereford and Guildford Choral Society",Andra Sparks and Nick Weldon,Nick Fox,Grateful Dead,The Jerry Lee Lewis Anthology. ,Lieder. ,"Little Wheel, Spin and Spin. ",Country Shots: Gear-Jammin’ Greats. ,Five Tudor Portraits/ Five Mystical Songs. ,People We Once Knew. ,Worst Fears. ,In The Dark. ,"
Kirsty Young's castaway is writer Fay Weldon.

Show more

", ,b59ac58d-036e-4bba-8112-c32a34c4575b,f91e3a88-24ee-4563-8963-fab73d2765ed,7b1a3022-6f4d-4c6b-acb3-bfa8919222b9,b49175c4-b049-4dfd-bd76-b840684de10d,,,,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6, ,0,"https://www.bbc.co.uk/programmes/b00s8djk
"
0,Fay Weldon,Fri 29 Feb 1980,Kennedy's Latin Primer,Shiny white paper and felt pens,"Piano Concerto in A minor, Op 54 (feat. Philharmonia Orchestra & Kurt Sanderling)",La ronde de l'amour (from La Ronde),Liverpool Lullaby,Angels ever bright and fair (Theodora),Never Let Your Braces Dangle,Little Wheel Spin and Spin,Over the Rainbow,'Tis The Gift To Be Simple,"Alfred Brendel, Robert Schumann, Philharmonia Orchestra & Kurt Sanderling",Oscar Straus,Judy Collins,George Frideric Handel,Harry Champion,Buffy Sainte-Marie,"Harold Arlen, Judy Garland & Unnamed orchestra",Carolyn Hester,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Fay Weldon.
Book: Kennedy's Latin PrimerLuxury: Shiny white paper and felt pens
", ,4a37c64f-4151-4c4b-ab69-a58450f9967e,cec7f5fe-5dee-4258-af3e-3bb1e469444b,06f9c474-0547-40fc-be3d-1ae6ce38abd7,27870d47-bb98-42d1-bf2b-c7e972e6befc,dea238d0-dbb9-4990-b652-790c0fb40516,7b1a3022-6f4d-4c6b-acb3-bfa8919222b9,3508f3fd-3b18-493c-a362-376736bb6cde,7e534f92-84dd-457f-b737-f28db04a5ba5, ,0,"https://www.bbc.co.uk/programmes/p009mwhp
"
0,Felicity Green,Fri 22 Apr 2011,Finishing the Hat - Stephen Sondheim,A bronze sculpture by Giles Penny,But Not For Me,Chan Chan,By the Light of the Silvery Moon,Somewhere,I Want To Hold Your Hand,Stabat Mater,The Way We Were,The Four Seasons: 'Spring',Dinah Washington,Buena Vista Social Club,Doris Day,Leonard Bernstein,The Beatles,Giovanni Battista Pergolesi,Barbra Streisand,Antonio Vivaldi,The Swingin’ Miss ‘D’. ,Buena Vista Social Club. ,A Portrait of Doris Day. ,West Side Story. ,The Beatles: 1. ,Stabat Mater/Scarlatti: Salve Regina. ,Barbra Streisand Greatest Hits Vol.2. ,Vivaldi: The Four Seasons. ,"
Pioneering fashion journalist Felicity Green joins Kirsty Young to choose her Desert Island Discs.

Show more

", ,d385947d-c00d-4311-9cf1-a032a1d4040b,2a85ecff-41e9-4be1-aca6-c87054a4c334,3db5dfb1-1b91-4038-8268-ae04d15b6a3e,fa39bc82-9b27-4bbb-9425-d719a72e09ac,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,7640225e-5758-40e2-a37b-971c2a7994b0,56cd15a1-0d74-438b-8244-c96ffe1cae03,ad79836d-9849-44df-8789-180bbc823f3c, ,0,"https://www.bbc.co.uk/programmes/b010dfh1
"
0,Felicity Kendal,Tue 4 Apr 1978,Plays and Prefaces - George Bernard Shaw,Perfume,Concerto in D minor,Violin Concerto in D major Op.61 (feat. BBC Scottish Symphony Orchestra),One,Oboe Concerto in G,Pavanas,"Symphony No 8 in B minor, 'Unfinished' (2nd mvt) (feat. Carlos Kleiber)",Adagio in G Minor for Organ & Strings,Misty Roses,"Alessandro Marcello, Jonathan Freeman-Attwood, Colm Carey & Colm Carey",Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Cast Of Chorus Line,Domenico Cimarosa,Julian Bream,"Wiener Philharmoniker, Franz Schubert & Carlos Kleiber",Tomaso Albinoni & Remo Giazotto,Tim Hardin,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Felicity Kendal.
Favourite track: Violin Concerto in D Major by Ludwig van BeethovenBook: Plays and Prefaces by George Bernard ShawLuxury: Perfume
", ,ff5e5b31-62b5-44cd-a641-4750c7805c54,1f9df192-a621-4f54-8850-2c5373b7eac9,,993640e8-4b19-42d2-8db6-f72bbaeafd8b,5bada1be-28e1-45b8-9d89-6e14700d82d9,d770374d-05e9-4ed3-a068-3fbd4e6e4dd6,,8f4be405-84d5-4cac-bdf9-bf02d9e04962, ,0,"https://www.bbc.co.uk/programmes/p009mywk
"
0,Felicity Lott,Fri 18 Jul 2008,Les Miserables - Victor Hugo,Lots of champagne and pistachio nuts,"Sinfonia Concertante in E flat, K.364",I was glad,A Time For Love,"Abendlied, Op. 92/3",A Midsummer Night's Dream Act 3 (finale) (Glyndebourne 1981),Entrance of King Menelaus (from La Belle Hélène),"Fantasia in a F minor, D 940",Intermezzo (Moonlight music) (from Capriccio),Wolfgang Amadeus Mozart,"The Choir of St George’s Chapel, Windsor",Tony Bennett,Johannes Brahms,Benjamin Britten,Jacques Offenbach,Franz Schubert,Richard Strauss,Mozart: Sinfonia Concertante. ,"Parry Cathedral Music: St George’s Chapel Choir, Windsor. ",Forty Years: The Artistry of Tony Bennett. ,Voices of the Night. ,None,La Belle Helene. ,Mozart. Schubert-Perahia-Lupu. ,Strauss: Capriccio - Live Recording 1985. ,"
Kirsty Young's castaway is soprano Felicity Lott.

Show more

", ,b972f589-fb0e-474e-b64a-803b0364fa75,,8be0594f-8c13-46bb-ab06-f93ffba5c776,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,49ae5227-605a-47a8-9b8e-cd89bf01a97c,27bc8cf5-72e1-4888-87de-259fbcaac3ff,f91e3a88-24ee-4563-8963-fab73d2765ed,4cb43d82-824e-4034-b03d-1a98f36f6e16, ,0,"https://www.bbc.co.uk/programmes/b00chbtj
"
0,Felix Aprahamian,Fri 24 Mar 1995,Du Cote De Chez Swann - Marcel Proust,Swiss army knife,"A Mass of LifeTintagelShéhérazade (feat. Justus Zeyen)Pelleas et Melisande: Act VSymphony No 3 in A minor, Op 44Cantata No. 96: Herr Christ,  der ein'ge Gottes-SohnA Mass of Life", , , , , , , ,"Frederick DeliusArnold BaxMeasha Brueggergosman, Maurice Ravel & Justus ZeyenClaude DebussyСергей Васильевич Рахманинов, L'Orchestre de la Suisse Romande & Paul KletzkiJohann Sebastian BachFrederick Delius", , , , , , , , , , , , , , , ,"
Sue Lawley's castaway is musician and critic Felix Aprahamian.

Show more

", , , , , , , , , , ,1,"https://www.bbc.co.uk/programmes/p0093pr4
"
0,Felix Dennis,Fri 17 Aug 2007,The Dictionary of National Biography,A very long stainless steel shaft to encourage pole-dancing mermaids!,One Too Many Mornings,Come On In My Kitchen,Have You Heard?,Bloomdido,Mother (feat. Plastic Ono Band),You Came A Long Way From St Louis,"Memphis, Tennessee",Bim Bam Baby,Bob Dylan,Robert Johnson,John Mayall & The Bluesbreakers With Eric Clapton,Charlie Parker & Dizzy Gillespie,John Lennon,Peggy Lee & George Shearing,Chuck Berry,Frank Sinatra,The Times They are A Changin'. ,Robert Johnson: the Complete Recordings. ,Blues Breakers-John Mayall & the Bluesbreakers. ,Bird and Diz. ,John Lennon/Plastic Ono Band. ,Beauty and the Beast: Peggy Lee & George Shearing. ,American Heartbeat. ,Love is a Kick. ,"
Kirsty Young's castaway is publisher Felix Dennis.

Show more

", ,72c536dc-7137-4477-a521-567eeb840fa8,8a8bbba6-72f7-4900-a306-c40b94f2631b,,,4d5447d7-c61c-4120-ba1b-d7f471d385b9,5a2463af-eef0-4a22-bc8f-5865fbe9c78e,592a3b6d-c42b-4567-99c9-ecf63bd66499,197450cd-0124-4164-b723-3c22dd16494d, ,0,"https://www.bbc.co.uk/programmes/b007vvsq
"
0,Fenella Fielding,Mon 5 Jun 1967,Cold Comfort Farm - Stella Gibbons,French silk-lined leather gloves,A Taste of Honey,The Girl from Ipanema,Countess Mitzi,I Will Miss You,Dance from Terpsichore,I'll Follow My Secret Heart,"Long, Long Summer",Who Taught Her Everything?,Morgana King,"Antônio Carlos Jobim, Astrud Gilberto, João Gilberto, Antônio Carlos Jobim, Stan Getz & Tommy Williams",Fritzi Massary,Cleo Laine & Doris Hare,Collegium Terpsichore,Noel Coward & Yvonne Printemps,Dizzy Gillespie,Danny Meehan & Kay Metford,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Fenella Fielding.
Favourite track: Long Long Summer by Dizzy GillespieBook: Cold Comfort Farm by Stella GibbonsLuxury: French silk-lined leather gloves
", ,b601ade5-7980-47d9-bcab-6a099b258a95,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0,a33b7836-e9a1-476f-a0be-699a939802eb,,0cf46308-8d0d-4000-b085-30cd0ee4542f,,e9ba8ccb-505f-4e5c-b909-65998d0d35b5,, ,0,"https://www.bbc.co.uk/programmes/p009y2s7
"
0,Finlay Currie,Mon 1 May 1961,The Dictionary of National Biography,17th-century miniature by Peter Oliver,My Ain Folk,Chorale No. 3 in A minor,He was Despised – from The Messiah,The Mountains O' Mourne,Academic Festival Overture,Eightsome Reel,Symphony no. 9 in E minor Op.95 (From the New World) (feat. BBC National Orchestra of Wales),Pomp & Circumstance March No 1 in D major (Land of Hope and Glory),Janet Howe,César Franck,George Frideric Handel,Peter Dawson,"Johannes Brahms, The Cleveland Orchestra & Lorin Maazel",Jimmy Shand and His Band,Antonín Dvořák & BBC National Orchestra of Wales,Sir Edward Elgar & BBC Symphony Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Finlay Currie.
Favourite track: He was Despised (from Messiah) by George Frideric HandelBook: The Dictionary of National BiographyLuxury: 17th-century miniature by Peter Oliver
", ,,69802473-e361-4e15-bbd8-53fe83cd1587,27870d47-bb98-42d1-bf2b-c7e972e6befc,5aa05945-14f6-43ec-b583-ee93a1cd93bc,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,eb9452dd-1993-4d11-9603-9c0558aac9be,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,4e60a56a-514a-4a19-a3cc-49927c96b3cb, ,0,"https://www.bbc.co.uk/programmes/p009y6ny
"
0,Fiona Reynolds,Fri 12 Apr 2002,The Making of the English Landscape - W G Hoskins,The full collection of Ordnance Survey maps of the British Isles,Mingulay Boat Song,Agnus Dei (from Requiem),Divertimento (K.136) in D major (feat. Lars Ulrik Mortensen),Octet for Strings in E flat major -1st movement,Lines Composed Above Tintern Abbey,The Salutation from Dies natalis Op 8,"Toccata, Adagio and Fugue in C major - 2nd movement",Oh! Hang at open doors the net (from Peter Grimes),Robin Hall & Jimmy MacGregor,Gabriel Fauré,"Concerto Copenhagen, Wolfgang Amadeus Mozart & Lars Ulrik Mortensen",Felix Mendelssohn,William Wordsworth,Gerald Finzi,Johann Sebastian Bach,Benjamin Britten,None,Requiem and Other Choral Music. ,Eine Kleine Nachtmusik. ,Mendelssohn Octet/Beethoven Septet. ,Treasury of William Wordsworth. ,Finzi's Dies Natalis. ,"Bach/Busoni: Chaconne, Toccata et Fugue. ",Britten: Peter Grimes. ,"
Sue Lawley's castaway is Director-General of the National Trust Fiona Reynolds.

Show more

", ,,fa19a8b6-e7f4-40d4-af15-7a7c41ac7d8f,7dfcbf3a-84c1-4fcd-8428-03589244b125,0e85eb79-1c05-44ba-827c-7b259a3d941a,6a0e8574-d332-4562-91bb-ecd51479af6a,bdc820cb-c7cf-4301-8f5d-ec9ae2f62f94,24f1766e-9635-4d58-a4d4-9413f9f98a4c,49ae5227-605a-47a8-9b8e-cd89bf01a97c, ,0,"https://www.bbc.co.uk/programmes/p00947wv
"
0,Fleur Cowles,Fri 24 Jun 1983,Blank paper,Painting materials,Promenade & Tuileries (from Pictures at an Exhibition),True Love,Dolencias,Carnival of the Animals - no.12; Fossiles,Andaluza (Dance No. 5) (from Danzas españolas),The Girl from Ipanema,"""Sola, perduta, abbanonata"" (Manon Lescaut)",Psalm 131,Modest Mussorgsky,Bing Crosby & Grace Kelly,Victor Valencia,"Camille Saint-Saëns, André Previn & Pittsburgh Symphony Orchestra",Enrique Granados,"Antônio Carlos Jobim, Astrud Gilberto, João Gilberto, Antônio Carlos Jobim, Stan Getz & Tommy Williams",Giacomo Puccini,Leonard Bernstein,Pictures At An Exhibition. ,High Society. ,TV Series The Flight Of The Condor. ,Carnival Of The Animals. ,andaluza. ,None,Manon Lescaut Act 4. ,None,"
Roy Plomley's castaway is painter Fleur Cowles.

Show more

", ,c1380b12-3909-47d8-a5fd-d20e76123310,2437980f-513a-44fc-80f1-b90d9d7fcf8f,,4137c070-15b2-4d00-a9f0-3517d02a9ba8,e378c6b3-7d74-48b5-ab04-9aac0df7562c,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0,a693df4a-8762-4a45-b7fd-6695b558385e,fa39bc82-9b27-4bbb-9425-d719a72e09ac, ,0,"https://www.bbc.co.uk/programmes/p009mjj7
"
